State,Year,totalSBLoans_1mil,cpi_1990,totalSBLoans_1mil_cpiadj,asset_cpiadj,equity_cpiadj,all_loans_cpiadj,ag_loans_cpiadj,real_estate_loans_cpiadj,ci_loans_cpiadj,consumer_loans_cpiadj,credit_card_loans_cpiadj,dollarloans_ci_LT1M_cpiadj,dollarloans_ag_bus_LT500K_cpiadj,sb1mil_loanRatio
02,2006,922856,154.4335307984,597574.888839854,6068709.86882205,696479.6073128,3906297.94610712,39922.5818076443,2534999.75392157,817717.922414792,329314.790630109,44644.3210946134,312383.954101591,11728.3813714905,0.730783651011541
02,2007,896485,158.5920586446,565277.358564968,6592133.38535889,746972.780660008,4207604.04664941,46230.0674422392,2650528.68171362,896394.23658811,410530.08388077,62785.2518745708,325406.060977581,12335.3477860071,0.630612442039508
02,2008,822271,166.4201201124,494093.50230287,24819256.7928777,1936812.27703675,21884148.0348015,49433.5126083607,19813496.1453019,993750.564149958,465725.428153868,77540.2827649317,308842.794546422,14758.9528676133,0.497200726346768
02,2009,620596,164.3745129502,377550.016034432,24631490.4154448,2138346.64921103,21260288.7343022,56108.7771504947,19581640.7093799,999690.545978733,468379.18846983,110953.601370472,289116.764651887,16035.6095830111,0.377666886571181
02,2010,587978,166.2180911258,353738.871634013,7727136.02722469,970993.462613496,4644634.67709264,38093.8172195245,3062056.86711801,866013.568398877,469214.156175331,64247.920090611,230260.695085868,10954.9338526481,0.408468047778998
02,2011,570752,172.0395699358,331756.235041152,7606439.89227338,945393.164797727,4381273.85730052,37066.6433887335,2790977.59571736,877530.241762815,425847.066870839,60179.1560841234,201714.122178063,9543.36053906988,0.37805675434582
02,2012,569556,174.8848853416,325674.799676081,7869152.06601591,950742.418244144,4523990.45937725,36427.0086962402,2849202.44560848,958883.675535879,412866.639145954,62721.0135043938,201437.745005604,8930.92179937678,0.339639528740622
02,2013,593430,177.8855510292,333602.137198084,7740461.70324764,931602.008293855,4349250.21181628,36752.9395090522,2712531.92618917,917645.617507526,399230.488163391,66335.7363393745,196975.894670399,11623.2664352709,0.363541361538021
02,2014,582993,181.548176264,321123.027505512,7978633.48134731,917282.034269253,4309116.81636236,36979.9982519216,2638236.88748829,911981.103600525,389146.778671725,66520.0497028112,185323.358421664,13130.6746071051,0.35211587853927
02,2015,591637,181.8741852284,325300.151451958,8733198.35374565,968695.760368494,4742371.29366643,39916.5441143576,2884401.84614489,993695.005154277,402187.860736991,83461.8685601046,198225.089464476,15506.3183353544,0.327364180925367
02,2016,573412,183.7774361808,312014.364720965,9206583.82916001,1011993.23841238,4914836.62900015,40487.0859942905,2927741.79855057,1067917.06956577,406991.811559342,87132.500865642,209598.5549459,14621.3904717259,0.292170968713736
02,2017,542378,186.865346682,290250.712414323,8832962.95910501,983510.121340272,4830366.82193847,45410.4022412087,2858444.79218568,1059208.2907269,397686.8013463,101831.862117873,202109.260211512,18613.0416872702,0.27402609567485
02,2018,541606,192.22,281763.604203517,8202069.69856209,922262.775927239,4596573.88623298,54862.8950795525,2707358.12227177,1042204.64639271,344143.325499016,97580.489279142,193530.754164462,19308.4541356532,0.270353433156108
04,2005,4595638,148.2347606502,3100243.14124583,127042636.360247,12653502.6153884,87339828.7942551,259407.294027382,33415065.736426,10222386.5430155,40832708.4350288,37025033.7336113,3692775.15705383,78303.3133642912,0.303279779941807
04,2006,5695515,154.4335307984,3688004.13391766,131846849.971752,12880766.4029846,87572743.7262323,273200.305446616,35683171.9626193,11495151.8072173,37607700.5464766,33845003.917368,4390665.1838268,82254.0495140839,0.320831268326716
04,2007,6742546,158.5920586446,4251502.91737485,98035855.1385239,9193557.65492461,55148506.6153157,280173.766829501,35864727.5138511,9799395.04382716,5406706.38480886,1237106.03401974,1825978.69130161,83244.2095846623,0.433853610183106
04,2008,5569801,166.4201201124,3346831.49864221,96012148.0650857,8861049.46016384,51802085.2849388,279869.097965949,31114972.5440473,11406315.3654454,5356191.87615244,1126634.0640981,1778345.65090893,75269.2390763335,0.293419162228426
04,2009,3320319,164.3745129502,2019971.91681775,91120536.421654,8921384.4459531,48391228.4585683,300864.736841692,32120248.2266478,9664045.55171913,4711209.6016784,965685.116764907,1670193.72476002,80082.196727004,0.209019287627263
04,2010,3061532,166.2180911258,1841876.52454926,89739705.4342519,9536210.56292945,46878571.5688289,221143.269048526,31691831.9495447,8012106.04799963,4743206.01765937,724211.985743027,1479332.81321399,58652.3331012195,0.229886688158492
04,2011,3255846,172.0395699358,1892498.33699014,81685987.8585504,8600445.43292292,41308404.8259716,199167.815095546,26486373.8024831,7620106.73619032,4199116.34338231,780027.453412058,1246712.52625059,48467.4329770188,0.248355882995977
04,2012,3241359,174.8848853416,1853424.32175811,79370126.2421738,8265150.02321309,39589142.7374028,187956.470272678,23886355.8223625,8118329.97117861,4004685.98700944,800444.44918741,1161969.45538471,39313.5242637585,0.228301181195895
04,2013,3304708,177.8855510292,1857772.02301132,81430340.1875593,8567346.5559816,40708618.4737159,179417.13944275,23543691.9289402,8392895.19916952,4171432.98826934,793968.82354078,1200531.20615192,35841.188629595,0.221350556503451
04,2014,3429623,181.548176264,1889098.01826529,81130426.8632134,8687356.00343361,40485129.2671231,168348.352580667,22669385.5667176,8588139.38087876,4167326.38309724,800348.937975192,1187924.05039779,35058.5109886137,0.219965924455222
04,2015,3699882,181.8741852284,2034308.4948277,87058872.7333122,9350794.51096504,44713422.6582122,169077.213921999,23981707.4110833,9668471.11769435,5326423.91625396,1781982.94464911,1335043.25676865,41899.7838190572,0.210406430351195
04,2016,4043522,183.7774361808,2200227.66887551,93177847.6943643,9972663.3514188,48772453.9842844,181259.621863017,25450011.949418,10990879.3237165,5553604.94467815,1855335.44966725,1592123.1880913,48425.4502665303,0.200186682436571
04,2017,4075013,186.865346682,2180721.61176823,96491225.5789328,10387611.8747309,50539556.1039209,179031.323491558,26471003.7771289,11490783.9463753,5298209.26319514,1914140.83677408,1589783.26478371,48349.0974667545,0.189780055211649
