year,FIPS_state,cpi_1990,asset_cpiadj,equity_cpiadj,all_loans_cpiadj,ag_loans_cpiadj,real_estate_loans_cpiadj,ci_loans_cpiadj,consumer_loans_cpiadj,credit_card_loans_cpiadj,dollarloans_ci_LT1M_cpiadj,dollarloans_ag_bus_LT500K_cpiadj
2005,30,148.2347606502,11447789.6687309,1113493.12666632,7895829.03367318,529384.54974331,5010137.21455238,1465402.84173587,774252.990614288,72421.2497809665,944720.468890887,427469.880533682
2005,31,148.2347606502,30427832.3276997,2929619.74481741,21189020.5856194,2513638.51111886,12380938.480556,3571104.10151972,2293363.1513679,472943.862989525,1794613.20503268,1859717.84120036
2005,32,148.2347606502,63216508.2567214,10616794.4273252,41802143.3887575,144846.679676576,20510079.9700002,4633745.69035316,14000578.4751743,12268050.620919,1999746.3754448,46221.0986168978
2005,33,148.2347606502,29184272.6066379,4841514.0556303,16847605.9636356,15377.3854763856,8938262.60988861,1823506.01754603,6108736.1552348,4636081.95678672,601813.333386972,6253.49526108481
2005,34,148.2347606502,232863577.482293,23323028.5377666,119585675.813747,95415.1694336827,87264274.7691103,17692953.3956886,7235420.20787332,520745.487658627,3492228.58499075,12867.1768790465
2005,35,148.2347606502,18881978.5054904,1803489.15985735,11620198.1026261,204162.368607439,8116355.62386801,1812279.18117393,996763.998129882,83409.6655244358,779666.548948627,106818.769051879
2005,36,148.2347606502,1251177538.06602,116455958.117978,624108557.703702,820348.790427195,259507558.129948,132893138.843144,130687703.124882,53014547.2860804,13588253.6620937,168740.139959583
2005,37,148.2347606502,198267608.803496,20735665.0373406,114955430.733972,293211.920681336,76081622.0820653,21500377.2768234,8925357.05907342,475643.134075912,5485564.57666465,162569.912429244
2005,38,148.2347606502,13560311.2841041,1383005.46253484,9967768.30252289,1107238.21601974,4653456.35150795,2567163.95153125,1422099.23591912,282987.64841507,1348852.70079669,947683.945416864
2005,39,148.2347606502,240258383.696039,22934755.6805088,162390494.447814,540017.417995891,97514273.0109445,30122012.3626854,21484952.2746404,2299530.26524873,7431547.74591444,353721.149618083
2005,40,148.2347606502,51060931.0078348,4462420.0599313,29975684.4630473,1107695.83470514,19016649.2675182,6388517.27494664,2908864.06533558,164246.992650285,2605528.14934701,812391.584591314
2005,41,148.2347606502,48787934.5865157,5004338.56064712,34323171.7416205,393470.629422143,24395892.6476766,5086790.93414802,2467374.94107077,423996.313397409,1463866.45465833,198348.391166755
2005,42,148.2347606502,229508251.798924,22461732.8820716,133043266.937186,224650.501422749,88701295.418717,25142612.4494148,13550864.1759861,1009898.78973218,7644030.84693372,158857.43472923
2005,44,148.2347606502,22921679.0369742,2205806.60153269,13484506.8132658,6079.38965270485,8542224.26886216,1542696.46717634,2807769.86127183,137921.024891049,373234.453814667,286.793013658319
2005,45,148.2347606502,53449854.0841739,5182733.20558879,33184008.2569476,82236.7383028792,23289299.3287682,5778275.9216802,2703147.67967353,53412.8565025367,2382422.14558738,61970.7778699589
2005,46,148.2347606502,74543010.2668187,13803710.5513957,53518086.7044008,1345080.08874129,17936709.8042534,7081932.31802813,25939792.6712326,23398767.973417,2853061.19539601,934734.329920759
2005,47,148.2347606502,94850463.5727555,9315335.77861789,62533432.9214778,255668.088933172,44838789.4401393,10148051.1998414,4819112.00839411,265003.239860526,4101730.8491448,200000.987656292
2005,48,148.2347606502,414977031.494306,37031611.5714035,238425963.834073,2495088.05447895,158690554.579791,36883007.5891476,27408669.8762358,9326082.88881816,11047709.5625263,1531206.54254724
2005,49,148.2347606502,143900890.904666,26763406.1011147,92173762.3076165,247945.717947028,26345239.8600659,29031496.4466184,32361501.6228115,15869976.9524083,11784173.092233,120854.333000736
2005,50,148.2347606502,8603309.74052788,1119084.02096073,5762845.97399953,19016.8485338349,4189207.36284448,816248.286612175,551062.127256387,2174.49167965506,352771.687096728,13325.9176759364
2005,51,148.2347606502,164110142.347108,17235677.11104,98019324.0727602,133141.514933067,57579025.1568659,12912224.0277256,24566179.7788449,12170544.4551953,5058956.46227541,107911.99328057
