SBA.Physical.Declaration.Number,SBA.EIDL.Declaration.Number,FEMA.Disaster.Number,SBA.Disaster.Number,Damaged.Property.City.Name,Damaged.Property.Zip.Code,Damaged.Property.County.Parish.Name,Damaged.Property.State.Code,Total.Verified.Loss,Verified.Loss.Real.Estate,Verified.Loss.Content,Total.Approved.Loan.Amount,Approved.Amount.Real.Estate,Approved.Amount.Content,Approved.Amount.EIDL,Year
3371,9M97,1395DR,OK-L0160,BINGER,73009,CADDO,OK,900,0,900,0,0,0,0,2002
3371,9M97,1395DR,OK-L0160,CLINTON,73601,WASHITA,OK,5219,0,5219,5300,0,5300,0,2002
3371,9M97,1395DR,OK-L0160,CORDELL,73632,WASHITA,OK,1532632,1203179,329453,1127600,678600,370400,124000,2002
3374,9N29,,IN-L0137,SOUTH BEND,46619,ST JOSEPH,IN,504418,434499,69919,316000,262300,53700,22200,2002
3374,9N29,,IN-L0137,SOUTH BEND,46628,ST JOSEPH,IN,188265,55972,132293,309900,6000,303900,221600,2002
3375,9N30,,MI-L0104,CASSOPOLIS,49031,CASS,MI,12653,6200,6453,50700,6500,44200,38000,2002
3376,9N53,,MS-L0145,CORINTH,38834,ALCORN,MS,223039,97504,125535,609200,123900,485300,359700,2002
3378,9N67,,TX-L0572,BOERNE,78006,BEXAR,TX,28583,28583,0,0,0,0,0,2002
3378,9N67,,TX-L0572,CRYSTAL CITY,78839,ZAVALA,TX,50729,50729,0,0,0,0,0,2002
3378,9N67,,TX-L0572,D'HANIS,78850,MEDINA,TX,13728,13728,0,0,0,0,0,2002
3378,9N67,,TX-L0572,HONDO,78861,MEDINA,TX,697793,307067,390726,507900,109800,398100,238600,2002
3378,9N67,,TX-L0572,HONDOO,78861,MEDINA,TX,9318,9318,0,9400,9400,0,0,2002
3379,9N68,,TN-L0135,BIG ROCK,37023,STEWART,TN,30737,30662,75,25000,25000,0,0,2002
3379,9N68,,TN-L0135,CAMDEN,38320,BENTON,TN,66406,64906,1500,124100,50300,73800,72300,2002
3379,9N68,,TN-L0135,DRESDEN,38225,WEAKLEY,TN,0,0,0,5000,0,5000,5000,2002
3379,9N68,,TN-L0135,GREENFIELD,38230,WEAKLEY,TN,11776,11776,0,0,0,0,0,2002
3379,9N68,,TN-L0135,HENRY,38242,HENRY,TN,27482,27482,0,0,0,0,0,2002
3379,9N68,,TN-L0135,MEMPHIS,38111,SHELBY,TN,730,0,730,0,0,0,0,2002
3379,9N68,,TN-L0135,MEMPHIS,38112,SHELBY,TN,28287,11187,17100,44900,11200,33700,16600,2002
3379,9N68,,TN-L0135,MEMPHIS,38134,SHELBY,TN,13868,13868,0,16000,13900,2100,2100,2002
3379,9N68,,TN-L0135,MEMPHIS,38136,SHELBY,TN,10992,10592,400,10000,9600,400,0,2002
3379,9N68,,TN-L0135,PARIS,38242,HENRY,TN,100365,98365,2000,51600,46200,5400,3400,2002
3382,9N71,,MS-L0147,HORNLAKE,38637,DE SOTO,MS,113868,98868,15000,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,BATESVILLE,38606,PANOLA,MS,5434,3634,1800,4500,3200,1300,500,2002
3383,9N72,1398DR,MS-L0148,BELEN,38609,QUITMAN,MS,1265833,666998,598835,1000000,565000,435000,0,2002
3383,9N72,1398DR,MS-L0148,BELZONI,39038,HUMPHREYS,MS,12375,12375,0,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,BEULAH,38726,BOLIVAR,MS,9043,8843,200,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,CHARLESTON,38921,TALLAHATCHIE,MS,25558,25558,0,25600,25600,0,0,2002
3383,9N72,1398DR,MS-L0148,CLEVELAND,38732,BOLIVAR,MS,2322,2322,0,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,COAHOMA,38617,COAHOMA,MS,11848,0,11848,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,CRENSHAW,38621,QUITMAN,MS,9744,9244,500,9800,9300,500,0,2002
3383,9N72,1398DR,MS-L0148,DARLING,38623,QUITMAN,MS,117656,95509,22147,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,GREENVILLE,38701,WASHINGTON,MS,66389,60089,6300,4300,0,4300,0,2002
3383,9N72,1398DR,MS-L0148,GREENVILLE,38703,WASHINGTON,MS,189383,86533,102850,38000,0,38000,17000,2002
3383,9N72,1398DR,MS-L0148,GREENWOOD,38930,LEFLORE,MS,0,0,0,406300,0,406300,406300,2002
3383,9N72,1398DR,MS-L0148,GRENADA,38901,GRENADA,MS,20600,7299,13301,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,HORN LAKE,38637,DE SOTO,MS,164958,40199,124759,51800,1000,50800,8200,2002
3383,9N72,1398DR,MS-L0148,INDIANOLA,38751,SUNFLOWER,MS,9475,675,8800,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,ISOLA,38754,HUMPHREYS,MS,807544,661643,145901,287300,154100,133200,19900,2002
3383,9N72,1398DR,MS-L0148,JONESTOWN,38639,COAHOMA,MS,4665,2290,2375,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,LAMBERT,38643,QUITMAN,MS,98288,86206,12082,99200,83700,15500,6800,2002
3383,9N72,1398DR,MS-L0148,LELAND,38756,WASHINGTON,MS,25757,15107,10650,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,LOUISE,39097,HUMPHREYS,MS,13098,13098,0,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,MADISON,39110,MADISON,MS,56183,38498,17685,67000,38500,28500,10800,2002
3383,9N72,1398DR,MS-L0148,MARKS,38646,QUITMAN,MS,192661,151914,40747,103900,91400,12500,9000,2002
3383,9N72,1398DR,MS-L0148,OLIVE BRANCH,38654,DE SOTO,MS,17697,17697,0,18800,17700,1100,1100,2002
3383,9N72,1398DR,MS-L0148,OXFORD,38655,LAFAYETTE,MS,25048,22548,2500,37700,22600,15100,12600,2002
3383,9N72,1398DR,MS-L0148,RIDGELAND,39157,MADISON,MS,2800,0,2800,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,ROME,38768,SUNFLOWER,MS,43913,43688,225,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,SARAH,38665,TATE,MS,137689,115289,22400,137700,115300,22400,0,2002
3383,9N72,1398DR,MS-L0148,SENATOBIA,38668,TATE,MS,12928,12928,0,0,0,0,0,2002
3383,9N72,1398DR,MS-L0148,SHAW,38773,BOLIVAR,MS,20848,15858,4990,0,0,0,0,2002
